Accession,GWAS_ID,Reference,Year,Orientation,Origin,Continent,Country,Region,Azithromycin,Ceftriaxone,Ciprofloxacin,MtrA,MtrC,FarA,Mtr_Upregulation
SRR1661153,SRR1661153,Demczuk2015,1994.0,,,North America,Canada,Quebec,0.5,0.125,0.016,Inducible,Intact,Intact,Yes
SRR1661154,SRR1661154,Demczuk2015,1996.0,,Urethra,North America,Canada,Alberta,0.25,0.125,0.5,Inducible,Intact,Intact,Yes
SRR1661155,SRR1661155,Demczuk2015,1998.0,,,North America,Canada,Ontario,1,0.25,0.016,Inducible,Intact,Intact,Yes
SRR1661156,SRR1661156,Demczuk2015,1997.0,,Urethra,North America,Canada,Ontario,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661157,SRR1661157,Demczuk2015,1998.0,,Urethra,North America,Canada,Ontario,0.125,0.125,0.016,Inducible,Intact,Intact,
SRR1661158,SRR1661158,Demczuk2015,2000.0,,,North America,Canada,Quebec,0.25,0.125,0.5,Inducible,Intact,Intact,Yes
SRR1661159,SRR1661159,Demczuk2015,2001.0,,Cervix,North America,Canada,Ontario,0.063,0.00025,0.063,Inducible,Intact,LOF,No
SRR1661161,SRR1661161,Demczuk2015,2001.0,,Urethra,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661162,SRR1661162,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.063,0.004,0.004,LOF,Intact,Intact,No
SRR1661163,SRR1661163,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.5,0.125,0.032,Inducible,Intact,Intact,Yes
SRR1661164,SRR1661164,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.5,0.125,64,Inducible,Intact,Intact,Yes
SRR1661165,SRR1661165,Demczuk2015,2001.0,,,North America,Canada,Quebec,0.25,0.125,0.25,Inducible,Intact,Intact,Yes
SRR1661166,SRR1661166,Demczuk2015,2001.0,,Urethra,North America,Canada,Ontario,0.5,0.125,16,Inducible,Intact,Intact,Yes
SRR1661167,SRR1661167,Demczuk2015,2002.0,,,North America,Canada,Quebec,2,0.125,0.032,Inducible,Intact,Intact,Yes
SRR1661169,SRR1661169,Demczuk2015,2004.0,,Urethra,North America,Canada,British Columbia,0.063,0.002,0.004,Inducible,Intact,Intact,No
SRR1661171,SRR1661171,Demczuk2015,2005.0,,Cervix,North America,Canada,New Brunswick,0.063,0.002,0.004,LOF,Intact,Intact,No
SRR1661172,SRR1661172,Demczuk2015,2005.0,,Urethra,North America,Canada,Manitoba,0.125,0.004,0.008,LOF,Intact,Intact,No
SRR1661173,SRR1661173,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.5,0.032,32,Inducible,Intact,Intact,Yes
SRR1661174,SRR1661174,Demczuk2015,2005.0,,,North America,Canada,Quebec,0.063,0.032,8,Inducible,LOF,Intact,Yes
SRR1661177,SRR1661177,Demczuk2015,2005.0,,,North America,Canada,Ontario,0.25,0.001,0.016,Inducible,Intact,Intact,Yes
SRR1661179,SRR1661179,Demczuk2015,2006.0,,Urethra,North America,Canada,Ontario,0.25,0.125,1,Inducible,Intact,Intact,Yes
SRR1661180,SRR1661180,Demczuk2015,2006.0,,Cervix,North America,Canada,Saskatchewan,0.032,0.002,0.004,LOF,Intact,LOF,No
SRR1661181,SRR1661181,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.125,0.125,2,Inducible,Intact,Intact,Yes
SRR1661182,SRR1661182,Demczuk2015,2006.0,,Urethra,North America,Canada,British Columbia,0.125,0.125,2,Inducible,Intact,Intact,Yes
SRR1661183,SRR1661183,Demczuk2015,2006.0,,,North America,Canada,Quebec,1,0.032,16,Inducible,Intact,Intact,Yes
SRR1661184,SRR1661184,Demczuk2015,2006.0,,,North America,Canada,Ontario,0.5,0.032,4,Inducible,Intact,Intact,Yes
SRR1661185,SRR1661185,Demczuk2015,2006.0,,,North America,Canada,Ontario,0.25,0.125,16,Inducible,Intact,Intact,Yes
SRR1661187,SRR1661187,Demczuk2015,2006.0,,,North America,Canada,Saskatchewan,0.25,0.063,8,Inducible,Intact,Intact,Yes
