"term","std.error","estimate","p.value"
"(Intercept)",0.0809319894198455,-7.15733505878355,0
"CountryAngola",0.948258916471332,-1.35047049464595,0.154471887743078
"CountryArgentina",0.946533519135485,-0.828760604569346,0.381309344201764
"CountryArmenia",0.950256714538563,-0.489332304734631,0.606615667259194
"CountryAustralia",0.0949956690490384,0.324230629443287,0.000648077125792247
"CountryAustria",0.13699966360237,-0.0990688857020235,0.469637149403102
"CountryBelarus",0.198130518074472,0.179941762614038,0.363823458804668
"CountryBelgium",0.130906107983605,-0.539110755983347,3.88703732097274e-05
"CountryBhutan",0.431102433942779,-1.10703210256052,0.0102642101629872
"CountryBrazil",0.671688253127363,-0.235010082866457,0.726445783378436
"CountryBulgaria",0.961589078887058,-0.182666798163185,0.849346546760511
"CountryCabo Verde",0.678436850498496,-0.465207672225206,0.492935272027716
"CountryCanada",0.0597713841078709,0.071160854110489,0.23389450615617
"CountryCaribbean",0.949247741933913,-2.39790814805649,0.011568112627471
"CountryChile",0.94952417811902,0.198667243999258,0.834279808202744
"CountryChina",0.339251447467027,-0.822097327474035,0.0154217692488204
"CountryCuba",0.479438803141428,-1.50138499097598,0.00175032570135598
"CountryCyprus",0.336489952258302,-0.12798041804753,0.703711840251753
"CountryDenmark",0.125238777296515,-0.953127023502092,3.32231514209824e-14
"CountryEcuador",0.948726718194335,0.183567417165506,0.846585612486062
"CountryEstonia",0.234638779484172,-0.608682361163472,0.00951474313463359
"CountryFinland",0.946464831147622,-1.45508400623696,0.124270370557596
"CountryFrance",0.124497323964532,-0.865470272979268,4.14089411063001e-12
"CountryGermany",0.133007799481573,-0.273451708710048,0.0398505084842764
"CountryGreece",0.13478630309717,0.0331568461992935,0.805697099314555
"CountryGuinea",0.947559092796315,-2.05082581975329,0.0304932088555767
"CountryGuinea-Bissau",0.19943350070154,-1.80851618882017,1.78592577800867e-19
"CountryHungary",0.138464317210863,-0.0807452178090793,0.559823517962097
"CountryIceland",0.428409454418083,-0.573062056925134,0.181079798461472
"CountryIndia",0.21063595810356,-0.0877398678866643,0.677029848269044
"CountryIndonesia",0.426286263944138,-1.46900520398336,0.000574177283965102
"CountryIreland",0.155033372256563,-0.960201020733032,6.42310100283534e-10
"CountryItaly",0.183076722388585,-1.08523926858554,3.30616468889638e-09
"CountryIvory Coast",0.673647745732715,-1.063205032058,0.114573321202995
"CountryJamaica",0.670982575334814,-1.17120903568902,0.0809655757475294
"CountryJapan",0.078133480684097,-0.5611834494966,8.01051767737268e-13
"CountryLatvia",0.157587373308712,-0.137794085415621,0.381949416910812
"CountryMalaysia",0.672632494878292,-1.51668684778002,0.0241917238374093
"CountryMalta",0.213987463355625,0.69456883842317,0.00117984871601485
"CountryMorocco",0.549015562035329,-1.68853672692588,0.00211393424449497
"CountryNetherlands",0.121257604997872,-0.420904995594097,0.000523205787474541
"CountryNew Zealand",0.0583524187392033,-0.503505584869002,8.5523510380663e-18
"CountryNorway",0.120556421044029,-0.314837706245105,0.00904429867828435
"CountryPakistan",0.269108405535517,0.280527434169693,0.297268510701467
"CountryPhilippines",0.265614536930727,-1.34133090834481,4.59944010012736e-07
"CountryPoland",0.168293165042366,-0.690148770192183,4.19052524060995e-05
"CountryPortugal",0.0968453083078745,-1.17068577266579,4.07660110342435e-33
"CountryRomania",0.956276282913478,-1.46231240307395,0.126293537630572
"CountryRussia",0.301884471118758,-0.085506194550991,0.77700512566261
"CountrySaudi Arabia",0.954000067418127,-0.820771972888024,0.389644310604804
"CountryScotland",0.671222829460792,0.0142312855575621,0.983085460578527
"CountrySlovakia",0.156934022101167,0.0981984449593193,0.53152411148642
"CountrySlovenia",0.111926930251763,-0.3722911000274,0.000887636956503282
"CountrySouth Africa",0.550528836678113,-1.09350149030084,0.0470649731746024
"CountrySpain",0.0895313303583978,0.236793641731279,0.00820273771991226
"CountrySweden",0.136497381996668,-0.597158204527283,1.24326894467783e-05
"CountryTanzania",0.672318159980326,-0.944167011894875,0.160286786528951
"CountryThailand",0.197973146034525,-1.06509086960467,7.83767237228307e-08
"CountryThe Gambia",0.426866732849587,-1.1807295152431,0.00569795186662979
"CountryTurkey",0.480597595190029,-1.77858338877592,0.000217579117936054
"CountryUganda",0.9492365549513,-0.744180899733306,0.433095154478808
"CountryUK",0.090747757630216,-0.970236990384106,2.34753531787969e-26
"CountryUnmapped",0.962013169414586,-0.0310524498812156,0.974251334151563
"CountryVietnam",0.391992227766373,0.487862180600404,0.21335596450004
"MtrR_39T",0.0524971531341412,-0.0722516831011234,0.168799909789023
"MtrR_39Unmapped",0.220205030750114,0.150563451510681,0.494174149990086
"MtrR_45D",0.0531347152587043,0.294943451518884,3.01034379790567e-08
"MtrR_45Unmapped",0.253468748167517,0.359182725625134,0.156533758026849
"mtr_promoter-",0.0624502155835462,0.145271678954367,0.0200532388507849
"mtr_promoterG",0.957062018279963,2.03549953738418,0.0334906301944442
"mtr_promoterUnmapped",0.101250138047447,-0.0765199228397954,0.449838908867471
"mtrRtruncated",0.0750568603861615,0.308221565701613,4.09001849460266e-05
"mtrRUnmapped",0.987437756541547,-1.86538481955044,0.0589421480218557
"Mosaic_PenA_BAPS-2147483648",0.206632439699458,1.73200335960104,6.92555410581981e-17
"Mosaic_PenA_BAPS1",0.138818603082721,1.866227141723,2.09652523432605e-40
"Mosaic_PenA_BAPS2",0.212992488341082,0.233733390869679,0.272536182826878
"Mosaic_PenA_BAPS3",0.223561346664183,-0.457709334468027,0.0406827394217243
"Mosaic_PenA_BAPS4",0.498215253681667,-1.5517145383033,0.00185416388592126
"Mosaic_PenA_BAPS5",0.216655927703187,-0.187131063246214,0.38778640430665
"Mosaic_PenA_BAPS6",0.366361051408336,0.0159752793758771,0.965221020975194
"Mosaic_PenA_BAPS7",0.0937839271534579,-0.407054142322925,1.45466672468491e-05
"Mosaic_PenA_BAPS8",0.114247277997876,-1.31911692114393,2.11500164878861e-30
"Mosaic_PenA_BAPS9",0.550068828784521,-2.49461524077748,5.9113544389545e-06
"Mosaic_PenA_BAPS10",0.10151396827177,0.201901191237505,0.0467742067399713
