"term","std.error","estimate","p.value"
"(Intercept)",0.0647762223782812,-7.72166481369918,0
"CountryAngola",1.37645007372827,-0.776045320417336,0.572920207292947
"CountryArgentina",1.37645007372827,0.638992178861544,0.642506571202999
"CountryArmenia",1.37678080514796,0.340843029758092,0.804483423939903
"CountryAustralia",0.138608185054594,1.11820572187393,9.38485761148728e-16
"CountryBelarus",0.35744750616645,-0.010269552055968,0.977081160062894
"CountryBelgium",0.189869532572807,-0.118513817194835,0.532541019227636
"CountryBhutan",0.62920841108615,-2.94028082358904,3.06533583514485e-06
"CountryBrazil",0.977925914193563,-1.42694245706254,0.144601124553706
"CountryBulgaria",1.37685643357513,-0.756006771001241,0.582979708895946
"CountryCabo Verde",0.981876619297223,-0.269001243992544,0.784124430537318
"CountryCanada",0.132907754734155,0.023873677007253,0.857455275786857
"CountryCaribbean",1.37936266006765,-1.71648350826782,0.213423411338342
"CountryChile",1.37969143444167,-0.147997030040016,0.914581535605429
"CountryChina",0.496234520110062,0.388583410952021,0.433635448162175
"CountryCuba",0.693833054565568,-0.925527872436438,0.182300578025218
"CountryDenmark",0.180966850403853,-0.233544741032461,0.196937576225706
"CountryEcuador",1.37678080514796,0.340843029758298,0.804483423939788
"CountryEstonia",0.373778024741492,-0.0103894353477614,0.977826440959631
"CountryFinland",1.376426928028,1.14254901725517,0.40654077977898
"CountryFrance",0.182930780178895,0.375530501870755,0.0401509041774987
"CountryGermany",0.521671611778658,-2.20935795638458,2.33489042555745e-05
"CountryGreece",0.19706588786207,0.904361413384413,4.58618090189308e-06
"CountryGuinea",1.37795828870694,-1.36794039625423,0.32090111094205
"CountryGuinea-Bissau",0.287851597224241,-0.943223791881826,0.0010588957409437
"CountryHungary",0.973639062090304,-6.7902512192475,3.5813308163435e-12
"CountryIceland",0.620102674549936,-0.347185028909497,0.575590224843253
"CountryIndia",0.33232411642227,-0.896262650738642,0.00702677786526739
"CountryIndonesia",0.620946704337721,-0.958373036881631,0.122810632268172
"CountryIreland",0.225866444347782,-0.293451541638055,0.193940616014611
"CountryItaly",0.265415804260331,0.31603560124231,0.233834001080503
"CountryIvory Coast",1.0292983646824,0.261541675113018,0.79943352849194
"CountryJamaica",0.974176824329301,-0.880073777701202,0.366366229393903
"CountryJapan",0.11026986690157,0.666122944103849,1.67153305809576e-09
"CountryMalaysia",0.99024207369325,-0.3231922633481,0.744156039497453
"CountryMalta",0.313250891737391,-1.31246698315902,2.85137940740137e-05
"CountryMorocco",0.796209232778176,-0.646059839666956,0.417172550913543
"CountryNetherlands",0.176345719190313,-0.129055477893563,0.464313475471957
"CountryNew Zealand",0.0803408363690801,-0.530870628972337,4.41143256755507e-11
"CountryNorway",0.419593736861056,0.709585671464659,0.090890041170542
"CountryPakistan",0.403648040154263,0.00532447340421042,0.98947615660795
"CountryPhilippines",0.429580095457854,-0.437846882535784,0.308148291876377
"CountryPoland",0.243700831701611,-0.314160924107083,0.197428383651453
"CountryPortugal",0.141461984610187,0.128542835382349,0.36357645792578
"CountryRomania",1.37798848408164,-0.482165262225145,0.726428142045915
"CountryRussia",0.437071505193231,0.792464572684629,0.0698870435192414
"CountrySaudi Arabia",1.37744449859739,-0.739530748508154,0.591375915048143
"CountryScotland",0.974740372283211,-0.0910588148985309,0.925575705187598
"CountrySlovakia",0.631540473066491,-0.361770269432903,0.566786417696652
"CountrySlovenia",0.278028319570991,0.523581943590974,0.0597455996470808
"CountrySouth Africa",0.797102427735363,-0.941541189551273,0.237590985721338
"CountrySpain",0.130017849368166,0.485338464656863,0.0001919260379681
"CountrySweden",0.198944310285068,0.376529545642035,0.0584775276031164
"CountryTanzania",0.97494705590149,-0.821629602613431,0.399422247736049
"CountryThailand",0.299945771777886,-0.862866661722793,0.00403910915680237
"CountryThe Gambia",0.618777422165667,-0.994494299267098,0.108090416421588
"CountryTurkey",0.697486830720941,-1.14617875513844,0.100399172339634
"CountryUganda",1.37645007372827,-1.36100782113842,0.322829525297919
"CountryUK",0.0806048313807189,1.38243886237461,1.06616166861967e-63
"CountryVietnam",0.572901079897171,1.48633818412244,0.00950971346458518
"MtrR_39T",0.0689070116146412,0.116888350175494,0.0899023879415838
"MtrR_39Unmapped",0.368034381507576,-1.80600504712005,9.60492331370156e-07
"MtrR_45D",0.077181959472906,0.0981102008465377,0.203746917950819
"MtrR_45Unmapped",0.552146222931805,1.4771106221326,0.00749824131167141
"mtr_promoter-",0.0870225184072829,0.374253836458455,1.74320322253022e-05
"mtr_promoterG",1.39256756421286,0.357145479709422,0.797604519862449
"mtr_promoterUnmapped",0.16263062073029,0.606175608165019,0.000196181773489117
"mtrRtruncated",0.0962941569138511,-0.000713430717733017,0.994088998691718
"mtrRUnmapped",1.49598158993079,-1.18646390645762,0.427765829265894
"GyrA_91F",0.240808925542615,4.69288552886571,6.52410270043507e-81
