"term","std.error","estimate","p.value"
"(Intercept)",0.0830397823443421,-7.17294351127163,0
"CountryAngola",0.973029485759428,-1.31173216496299,0.177698758805184
"CountryArgentina",0.971262440685795,-0.82404337377562,0.39624759242837
"CountryArmenia",0.975078621142593,-0.446043439196961,0.647374910669824
"CountryAustralia",0.0974565823114808,0.29417084315412,0.00255505799807875
"CountryAustria",0.140551885232565,-0.0580591809198906,0.679568147825006
"CountryBelarus",0.203303512397877,0.162624367715382,0.423806667141862
"CountryBelgium",0.134308378739961,-0.506603105005705,0.000164118287257935
"CountryBhutan",0.44236070877072,-1.07689796050281,0.0149547183804042
"CountryBrazil",0.688146282266165,-0.811778575030734,0.238199474451558
"CountryBulgaria",0.986710658906286,-0.200557182337238,0.838942533038516
"CountryCabo Verde",0.691819922384707,-1.62053206798871,0.0192036709615948
"CountryCanada",0.0613317397040198,0.0654002046779107,0.286330735923392
"CountryCaribbean",0.974038291176896,-2.33444029538762,0.0165867938256942
"CountryChile",0.974317041474901,0.277074717632356,0.77613383493976
"CountryChina",0.348105030682949,-0.783536486231698,0.0244435741730224
"CountryCuba",0.49196150109744,-1.52711801152781,0.00192047864620902
"CountryCyprus",0.345273374409066,-0.0937579551471182,0.785983119688469
"CountryDenmark",0.128483808374909,-0.992284244661062,1.39808147904143e-14
"CountryEcuador",0.973511148061357,0.21175639271729,0.827814640635203
"CountryEstonia",0.240751410840014,-0.651886753966093,0.00680103510943472
"CountryFinland",0.971188061575103,-1.41386882244781,0.145515701392137
"CountryFrance",0.127742247988031,-0.844633872040076,4.24521565848569e-11
"CountryGermany",0.136462054022278,-0.238089052918301,0.0811023962684939
"CountryGreece",0.138305909431975,0.0226621146188712,0.869852842042854
"CountryGuinea",0.972314491612372,-2.06342293913166,0.0338788033676523
"CountryGuinea-Bissau",0.204643866126316,-1.80838268723785,1.40170413754158e-18
"CountryHungary",0.142080361400915,-0.0903015855178618,0.52509185090643
"CountryIceland",0.439601497956391,-0.563108009836896,0.200278563198719
"CountryIndia",0.216126241871409,-0.122686536391278,0.570293919246549
"CountryIndonesia",0.437423226290704,-1.46418561543151,0.000822907322524591
"CountryIreland",0.159074353397597,-0.985930925763892,6.24700244134484e-10
"CountryItaly",0.187858138702141,-1.07364644290079,1.16837546529245e-08
"CountryIvory Coast",0.691245937102978,-1.04239117259104,0.131629385187531
"CountryJamaica",0.688512166675921,-1.16037303090609,0.0919952503630601
"CountryJapan",0.0801606012751355,-0.53874159554571,2.03914383873127e-11
"CountryLatvia",0.161704406809601,-0.139990315384632,0.386692506567367
"CountryMalaysia",0.689187410580145,-2.07443462996093,0.00262758582716152
"CountryMalta",0.219550882435085,0.643151170664362,0.00341373110685354
