"term","std.error","estimate","p.value"
"(Intercept)",0.0654238733682027,-2.62855389963195,4.49697887282339e-301
"CountryAngola",1.3099933204462,-0.658246068187878,0.615354660282118
"CountryArgentina",1.30971016761339,0.345478588037093,0.791959859430377
"CountryArmenia",1.31064739453075,0.691503273297494,0.597800500207548
"CountryAustralia",0.130299902568462,-0.769705080236617,3.74190088369859e-09
"CountryAustria",0.586231264881301,0.0462901789735795,0.937066177060079
"CountryBelarus",0.264199099540073,0.0753898702412558,0.77538749895012
"CountryBelgium",0.180694888675668,-0.0476349767957766,0.79208424559601
"CountryBhutan",0.619147531442338,-1.38667762970684,0.0251628661384184
"CountryBrazil",0.92626543810627,-1.39565269800226,0.131945719578955
"CountryBulgaria",1.30861312156597,-0.712330850638191,0.586234832486881
"CountryCabo Verde",0.926028017315455,-4.04206955341883,1.30059205824741e-05
"CountryCanada",0.0837593710421748,0.291921542388619,0.000496481063503856
"CountryCaribbean",1.30991301132907,-4.43037114152147,0.000725368515714678
"CountryChile",0.926731050014958,0.474774812579254,0.608458784337498
"CountryChina",0.465074500004454,-0.802751385711406,0.0844047360278503
"CountryCuba",0.65671250752635,-2.10191984781867,0.00138080857383998
"CountryCyprus",1.01644452424864,0.459788972923123,0.651038893221616
"CountryDenmark",0.171431626251988,-0.447393743593856,0.00909144510126897
"CountryEcuador",1.30972262450691,-1.14404133335827,0.382438719340661
"CountryEstonia",0.321420771491523,0.132545116685003,0.680086384336732
"CountryFinland",1.30861312156597,0.287669149361789,0.826015672395879
"CountryFrance",0.170805708785731,-0.784163011862785,4.53473204616838e-06
"CountryGermany",0.496283472190475,-1.47801471867276,0.00291556659855695
"CountryGreece",0.18459322784039,0.142598252981657,0.43985977545721
"CountryGuinea",1.30996318616838,-2.88246201548036,0.0278291418195529
"CountryGuinea-Bissau",0.27261064012719,-1.18477131415373,1.41749518818309e-05
"CountryHungary",0.65540996288442,-0.605896848202805,0.355300161822597
"CountryIceland",0.586010301078508,-0.366084390348641,0.532196070443269
"CountryIndia",0.287566422590775,-0.869135465740679,0.00252234566961804
"CountryIndonesia",0.586874899716376,-1.86200209477349,0.0015204386676059
"CountryIreland",0.214237496619311,1.00329133143891,2.91086646507127e-06
"CountryItaly",0.250481163087098,-3.72174178352517,9.11198210418909e-49
"CountryIvory Coast",0.92710898592117,-1.25484059402381,0.175965774600324
"CountryJamaica",0.926848394545215,-1.69554598428085,0.0674120824772936
"CountryJapan",0.0875825394987707,-0.297145993406318,0.000698029469757037
"CountryLatvia",0.415425507268428,0.571195754210825,0.169211948215678
"CountryMalaysia",0.926035660631877,-2.83313197410834,0.00223097870176648
"CountryMalta",0.296575515249932,-1.78742556972752,1.80786541013813e-09
"CountryMorocco",0.756310106607709,-1.6377715278067,0.0304046543296304
"CountryNetherlands",0.167194727026847,-0.814580313062578,1.1432033647837e-06
"CountryNew Zealand",0.0749147575786284,-0.693969243156063,3.01689799956656e-20
"CountryNorway",0.275077148628912,-0.0290939647397627,0.915772374517469
"CountryPakistan",0.351697131812989,-0.327060870574781,0.352447669630919
"CountryPhilipines",1.30861312156597,-0.712330850638201,0.586234832486875
"CountryPhilippines",0.364936897240712,-1.38643217586337,0.000147177279280514
"CountryPoland",0.230064236534483,-0.862729002495976,0.000179138150341902
"CountryPortugal",0.137756243001007,-0.561798731807808,4.61841919260026e-05
"CountryRomania",1.30996318616838,-1.40602397153737,0.283181374130844
"CountryRussia",0.415260699265315,0.288865752179571,0.4867003006681
"CountrySaudi Arabia",1.30861312156597,-2.67811513530029,0.0407634583019559
"CountryScotland",0.927613153852894,-0.470217609616333,0.612242374436962
"CountrySlovakia",0.495774251105322,0.259930603577239,0.600101616034916
"CountrySlovenia",0.269166369923763,-0.482987482147727,0.0728205401239916
"CountrySouth Africa",0.756450048067306,-1.3998155939561,0.0643074133748155
"CountrySpain",0.12234531074864,-0.15615863880142,0.201889758128538
"CountrySweden",0.180397360258956,-0.590938903645459,0.00106191374138246
"CountryTanzania",0.9272931571994,-1.64404133335827,0.0763065218337293
"CountryThailand",0.269563279373737,-1.70988773804496,2.47670865897386e-10
"CountryThe Gambia",0.58805602099839,-1.5827564901179,0.00713984985722597
"CountryTurkey",0.65592967803662,-1.10527432452627,0.0920496401017064
"CountryUganda",1.31152170463166,-1.94714592154069,0.137708967121305
"CountryUK",0.0755173797583495,-0.488691833515439,1.07785911601334e-10
"CountryUnmapped",1.30947676200068,1.35273593735375,0.301643922624313
"CountryVietnam",0.535695408718378,-0.0572308069622931,0.914925051680648
"MtrR_39T",0.0686797248678442,0.0687935865072365,0.316563795348133
"MtrR_39Unmapped",0.305790124129326,-0.101643538114481,0.739605743336134
"MtrR_45D",0.0671535873517327,0.275817962278198,4.07615235271016e-05
"MtrR_45Unmapped",0.381333733741243,0.586086525099855,0.124380059504338
"RplD_70A",0.490723050234206,1.76699412134711,0.000320732805625923
"RplD_70D",0.0984540253800479,1.11919885900193,1.55377725067729e-29
"RplD_70R",0.927546172432342,3.23323842202673,0.000495450561477569
"RplD_70S",0.928204331741822,1.3818114187299,0.136639664044183
"RplD_70Unmapped",0.840856712085843,1.2407228535985,0.140137138649031
"mtr_promoter-",0.0622752251289359,1.34088475027015,7.30714820040064e-98
"mtr_promoterG",1.30968766914841,1.62855389963195,0.213761720814675
"mtr_promoterUnmapped",0.196181528567461,1.06715968806682,5.62722560499707e-08
"mtrRtruncated",0.0862590519977452,-0.271756377566035,0.00164099576217001
"mtrRUnmapped",1.37892517274652,-3.03143131306399,0.0279722457190259
"Mosaic_Mtr_BAPS-2147483648",0.483124970751007,0.0383009873018715,0.936815419604392
"Mosaic_Mtr_BAPS1",0.0885891310901191,1.21428172508763,6.5934968356607e-42
"Mosaic_Mtr_BAPS2",0.346374489181124,1.84654637094272,1.02512742613004e-07
"Mosaic_Mtr_BAPS3",0.407814882642839,2.19998123106257,7.22879021184369e-08
"Mosaic_Mtr_BAPS4",0.336525612538929,2.61319679370321,1.00636961466077e-14
"Mosaic_Mtr_BAPS5",0.440358697428389,0.838224562905627,0.0570398165927269
"Mosaic_Mtr_BAPS6",0.42882771889939,1.79046727925818,3.03387906087306e-05
"Mosaic_Mtr_BAPS7",0.686398120945657,-2.06507922320564,0.00263959716364441
"Mosaic_Mtr_BAPS8",0.316182813612955,0.942816430336674,0.00288058683569238
"Mosaic_Mtr_BAPS9",0.0635987054212244,-0.193189051671866,0.00239845034533801
"Mosaic_Mtr_BAPS10",0.0794212655910694,-0.458878049996681,8.0904981396341e-09
"Mosaic_Mtr_BAPS12",0.300664744487966,1.55507914738458,2.41689117343896e-07
"rRNA23S_2059",0.0531634785271331,2.50452212731319,0
"rRNA23S_2611",0.0219820394970448,1.16862723895919,0
