"term","std.error","estimate","p.value"
"(Intercept)",0.0654929732843694,-7.74110400100245,0
"CountryAngola",1.39234224140298,-0.771249527244929,0.579662647730563
"CountryArgentina",1.39234224140298,0.643787972033895,0.643835422764599
"CountryArmenia",1.3926754156161,0.360282217061545,0.795881522198786
"CountryAustralia",0.140172855016847,1.08776953566138,1.06693063832557e-14
"CountryBelarus",0.361534249100102,-0.0622089992714959,0.863391555053998
"CountryBelgium",0.192055156742634,-0.103218137578223,0.590993290558654
"CountryBhutan",0.63646800263959,-2.91566275771479,4.76710194167716e-06
"CountryBrazil",0.988036546943204,-1.89184124441063,0.0555952192636089
"CountryBulgaria",1.39274528704668,-0.7103096323942,0.610074545847311
"CountryCabo Verde",0.986536271408954,-1.37541742427724,0.163337445385276
"CountryCanada",0.134322986736357,-0.0306177971660825,0.819703181718742
"CountryCaribbean",1.39526969531523,-1.64668849214122,0.23799272320894
"CountryChile",1.39557805791804,-0.0424987690449414,0.975707721640941
"CountryChina",0.501954665044482,0.417978345157586,0.405062420781272
"CountryCuba",0.701834692257511,-0.960185093880671,0.171354665040583
"CountryDenmark",0.182984330502488,-0.282924763480561,0.122142056284337
"CountryEcuador",1.3926754156161,0.360282217061523,0.795881522198798
"CountryEstonia",0.378061974956043,-0.0574501670307142,0.879226350600069
"CountryFinland",1.39231368536833,1.17928187127285,0.397048459589661
"CountryFrance",0.185040055844102,0.385347229993384,0.0373589858226078
"CountryGermany",0.52767656703126,-2.16721013855924,4.08628632061437e-05
"CountryGreece",0.199339007317997,0.895411447303611,7.25633632193243e-06
"CountryGuinea",1.39386768834669,-1.37630191544068,0.323506827738958
"CountryGuinea-Bissau",0.291171842347383,-0.956442747450943,0.00102923781758271
"CountryHungary",0.98486709154936,-6.74073619126332,8.84430451458396e-12
"CountryIceland",0.627261741965763,-0.339324117271602,0.588564335408457
"CountryIndia",0.33615912824615,-0.907268689175783,0.00698532773349825
"CountryIndonesia",0.628112267661477,-0.979346138501262,0.119029887721129
"CountryIreland",0.228449863546758,-0.325581284933136,0.154183610351239
"CountryItaly",0.268480183637265,0.317847934288872,0.236530839120146
"CountryIvory Coast",1.04117945774477,0.285632861358418,0.783840565905981
"CountryJamaica",0.985424014943375,-0.889513219038027,0.366754635610415
"CountryJapan",0.111542725367919,0.663639474658016,2.91533911649734e-09
"CountryMalaysia",1.00074217406802,-0.739158754883869,0.460186436752056
"CountryMalta",0.316806562963613,-1.3723318205933,1.51513140897598e-05
"CountryMorocco",0.805398720294501,-0.623512641234543,0.438877719893656
"CountryNetherlands",0.178371200640143,-0.147748098035951,0.407539328126624
"CountryNew Zealand",0.0809946374312924,-0.595014037164874,2.45196856074836e-13
"CountryNorway",0.424419769727571,0.74774640448816,0.0781773176005912
"CountryPakistan",0.408294920416893,0.0373602215568023,0.927097440193464
"CountryPhilippines",0.434539540075414,-0.43207724070474,0.320120104311914
"CountryPoland",0.246496050985599,-0.343230736131296,0.163866163722598
"CountryPortugal",0.142995047609722,0.0770102760631744,0.590225673806705
"CountryRomania",1.3938979316209,-0.494312576793088,0.722888249193518
"CountryRussia",0.442109259494552,0.818999461220905,0.064029577428784
"CountrySaudi Arabia",1.39334784990028,-0.729536854769296,0.600595546494352
"CountryScotland",0.985993152744339,-0.107076912414741,0.913526721708986
"CountrySlovakia",0.638625971559653,-0.517941224852243,0.417399487629199
"CountrySlovenia",0.281208318665183,0.484007024453441,0.0852967882921896
"CountrySouth Africa",0.80630362416585,-0.958874140245999,0.234422197100895
"CountrySpain",0.131518624473282,0.48226128533261,0.000248702583185052
"CountrySweden",0.200876492248651,0.259975824679185,0.195667851231035
"CountryTanzania",0.986203603114987,-0.823747346884796,0.403614526675136
"CountryThailand",0.303159163460395,-0.981307353591193,0.00121796128146985
"CountryThe Gambia",0.625920964977679,-1.00385210867958,0.108836347421961
"CountryTurkey",0.705539894222943,-1.1461358027468,0.104351363756597
"CountryUganda",1.39234224140298,-1.35621202796609,0.330089692903987
"CountryUK",0.0815354414155416,1.38321166040159,2.08372665890911e-62
"CountryVietnam",0.579501159798955,1.52584029656209,0.00849510015051922
"MtrR_39T",0.0696859887760903,0.13153174430646,0.0591658544266038
"MtrR_39Unmapped",0.37193174066524,-1.96173987886367,1.40125951375566e-07
"MtrR_45D",0.0779459625984503,0.0552521861988879,0.47845697921891
"MtrR_45Unmapped",0.55834000263763,1.61401300841866,0.00386392987371279
"mtr_promoter-",0.0880238173988366,0.36675602228269,3.15710366706039e-05
"mtr_promoterG",1.40864380754765,0.380571179074357,0.787044438032763
"mtr_promoterUnmapped",0.164380504858139,0.543780428512923,0.000947678950448362
"mtrRtruncated",0.0970108319914986,-0.0850579539379186,0.380653853608511
"mtrRUnmapped",1.51324559335099,-1.13810473458789,0.452037662114778
"GyrA_91F",0.243575012598092,4.66752875052678,2.09017532709663e-78
"GyrA_91T",0.888214252758887,0.286200639785772,0.747302511110556
"GyrA_91Unmapped",0.470622575330378,-0.683634473199836,0.146407770561876
"GyrA_91Y",0.591910703854877,3.94017026519922,3.1769281589783e-11
"GyrA_95A",0.267751087328697,2.85404396287996,3.50585797359855e-26
"GyrA_95G",0.253023012313648,3.16130670563268,3.56595928729813e-35
"GyrA_95N",0.277810690386327,4.06829286585003,2.36014798856414e-47
"GyrA_95Unmapped",0.454054051036896,2.55117260885223,2.05425621633539e-08
"ParC_86A",0.190246190342799,0.76077414760904,6.47778453766167e-05
"ParC_86Unmapped",0.78589060359995,0.832132985529645,0.289735667032348
"ParC_87I",0.366939931289037,0.860883581140302,0.0190183295499782
"ParC_87N",0.204175827305403,0.70415505527652,0.000568911542307687
"ParC_87R",0.144752822833106,2.11772160612751,2.87788550448128e-47
"ParC_87Unmapped",0.397612430492152,2.45117202261114,7.75262971580172e-10
"ParC_91G",0.159105024766415,1.82673165258982,4.7719478169623e-30
"ParC_91K",0.310710895380251,1.35792256887107,1.27153682781991e-05
"ParC_91Q",0.394724386943556,1.53274398380443,0.000104793986446926
"ParC_91Unmapped",0.560979283889732,2.28660306242714,4.66802418113281e-05
"PorB_120D",0.216662171769712,0.394748537265999,0.0685359046282608
"PorB_120K",0.257221151579191,1.80822258765326,2.41696239238577e-12
"PorB_120N",0.284419956600731,0.59067889204277,0.0378845797348024
"PorB_120Q",1.03327068623837,0.905988070844112,0.380638864318014
"PorB_120R",0.744344085313744,1.64510640274756,0.0271511789169257
"PorB_120Unmapped",0.288594133963918,0.259207566997149,0.369146689806939
"PorB_121D",0.250501946705181,-0.670122038826283,0.00750045105979725
"PorB_121G",0.285334527163563,-0.239117679522575,0.402065857036553
"PorB_121N",0.258083497620386,-0.559713542493329,0.0301613549484934
"PorB_121Unmapped",0.294769415012438,-0.476110939825682,0.106345989643821
"PorB_121V",0.698165837093922,0.277374521091386,0.691174396278323
